alpha,model,pit_mse,wave_mse,sdr_db,soi_symbol_accuracy,int_symbol_accuracy,avg_symbol_accuracy,soi_symbol_error_rate,int_symbol_error_rate
0.25,FastICA,0.6818000674247742,0.6818000636994839,-1.3268347904086113,1.0,1.0,1.0,0.0,0.0
0.5,FastICA,0.670440748333931,0.6704407520592213,-1.2239745631814003,1.0,1.0,1.0,0.0,0.0
0.75,FastICA,0.6700644269585609,0.6700644195079803,-1.194548487663269,1.0,1.0,1.0,0.0,0.0
1.0,FastICA,0.6669530160725117,0.6669530123472214,-1.15672417730093,1.0,1.0,1.0,0.0,0.0
1.5,FastICA,0.6664188280701637,0.6664188429713249,-1.1274365559220314,1.0,1.0,1.0,0.0,0.0
2.0,FastICA,0.6580215469002724,0.6580215469002724,-1.1036479882895947,1.0,1.0,1.0,0.0,0.0
3.0,FastICA,0.6625985465943813,0.6625985354185104,-1.1554725244641304,1.0,1.0,1.0,0.0,0.0
4.0,FastICA,0.6704607903957367,0.6704607829451561,-1.2407319024205208,1.0,1.0,1.0,0.0,0.0
6.0,FastICA,0.680578175932169,0.6805781796574593,-1.3137447088956833,1.0,1.0,1.0,0.0,0.0
8.0,FastICA,0.692650493234396,0.692650493234396,-1.3744983151555061,1.0,1.0,1.0,0.0,0.0
12.0,FastICA,0.7007631100714207,0.7007630951702595,-1.4202502369880676,1.0,1.0,1.0,0.0,0.0
16.0,FastICA,0.7029688805341721,0.7029688842594624,-1.439235046505928,1.0,1.0,1.0,0.0,0.0
24.0,FastICA,0.7080079615116119,0.7080079577863216,-1.472375251352787,1.0,1.0,1.0,0.0,0.0
32.0,FastICA,0.706733338534832,0.706733338534832,-1.4689765498042107,1.0,1.0,1.0,0.0,0.0
48.0,FastICA,0.7133729457855225,0.7133729606866837,-1.5040312930941582,1.0,1.0,1.0,0.0,0.0
64.0,FastICA,0.7172006033360958,0.7172006145119667,-1.5275977104902267,1.0,1.0,1.0,0.0,0.0
0.25,Tiny,0.23396363016217947,0.2339636292308569,3.320113480091095,1.0,1.0,1.0,0.0,0.0
0.5,Tiny,0.14126663003116846,0.14126663003116846,5.521818697452545,1.0,1.0,1.0,0.0,0.0
0.75,Tiny,0.09119639499112964,0.09119639405980706,7.430157482624054,1.0,1.0,1.0,0.0,0.0
1.0,Tiny,0.07554841367527843,0.07554841227829456,8.259279549121857,1.0,1.0,1.0,0.0,0.0
1.5,Tiny,0.11736816493794322,0.11736816354095936,6.367530465126038,1.0,1.0,1.0,0.0,0.0
2.0,Tiny,0.2298786286264658,0.22987862955778837,3.423662453889847,1.0,1.0,1.0,0.0,0.0
3.0,Tiny,0.607820451259613,0.6078204400837421,-0.813381090760231,1.0,1.0,1.0,0.0,0.0
4.0,Tiny,1.1848646700382233,1.1848646700382233,-3.7380706518888474,1.0,1.0,1.0,0.0,0.0
6.0,Tiny,3.0489526987075806,3.0489526242017746,-7.837691634893417,1.0,1.0,1.0,0.0,0.0
8.0,Tiny,5.945609539747238,5.945609509944916,-10.723345458507538,1.0,1.0,1.0,0.0,0.0
12.0,Tiny,14.597583413124084,14.59758347272873,-14.612045347690582,1.0,1.0,1.0,0.0,0.0
16.0,Tiny,27.28703999519348,27.28703999519348,-17.33175253868103,1.0,1.0,1.0,0.0,0.0
24.0,Tiny,64.24794697761536,64.2479465007782,-21.05451786518097,1.0,1.0,1.0,0.0,0.0
32.0,Tiny,116.9706678390503,116.97066831588745,-23.65807020664215,1.0,1.0,1.0,0.0,0.0
48.0,Tiny,270.48265266418457,270.48265266418457,-27.29034984111786,1.0,1.0,1.0,0.0,0.0
64.0,Tiny,489.84946060180664,489.8494625091553,-29.8699152469635,1.0,1.0,1.0,0.0,0.0
0.25,Linear,0.3175577502697706,0.3175577502697706,1.9878759756684303,1.0,1.0,1.0,0.0,0.0
0.5,Linear,0.28418790735304356,0.28418790735304356,2.472473233938217,1.0,1.0,1.0,0.0,0.0
0.75,Linear,0.2649132087826729,0.26491321064531803,2.775052845478058,1.0,1.0,1.0,0.0,0.0
