snr_db,model,pit_mse,wave_mse,sdr_db,soi_symbol_accuracy,int_symbol_accuracy,avg_symbol_accuracy,soi_symbol_error_rate,int_symbol_error_rate
30.0,FastICA,0.6590147204697132,0.6590147241950035,-1.0976300351321697,1.0,1.0,1.0,0.0,0.0
25.0,FastICA,0.663946695625782,0.6639467142522335,-1.1441161260008812,1.0,1.0,1.0,0.0,0.0
20.0,FastICA,0.6625361330807209,0.6625361368060112,-1.1295656822621822,1.0,1.0,1.0,0.0,0.0
15.0,FastICA,0.6754823289811611,0.6754823327064514,-1.1978315934538841,1.0,1.0,1.0,0.0,0.0
10.0,FastICA,0.6814164705574512,0.6814164705574512,-1.2361918538808823,1.0,1.0,1.0,0.0,0.0
5.0,FastICA,0.7193822450935841,0.7193822376430035,-1.5082575306296349,1.0,1.0,1.0,0.0,0.0
0.0,FastICA,0.8239400312304497,0.8239400200545788,-2.072150267660618,1.0,1.0,1.0,0.0,0.0
-5.0,FastICA,0.8948623687028885,0.8948623649775982,-2.486771374940872,1.0,1.0,1.0,0.0,0.0
-10.0,FastICA,0.9317289777100086,0.9317289739847183,-2.7079089134931564,1.0,1.0,1.0,0.0,0.0
-15.0,FastICA,0.9612496979534626,0.9612496830523014,-2.8306964337825775,1.0,1.0,1.0,0.0,0.0
-20.0,FastICA,0.9707713685929775,0.9707713797688484,-2.8893973976373672,1.0,1.0,1.0,0.0,0.0
-25.0,FastICA,0.9760347008705139,0.9760347120463848,-2.918805420398712,1.0,1.0,1.0,0.0,0.0
-30.0,FastICA,0.9819759875535965,0.9819759838283062,-2.925401985645294,1.0,1.0,1.0,0.0,0.0
30.0,Tiny,0.016190029040444642,0.01619002886582166,15.00919795036316,1.0,1.0,1.0,0.0,0.0
25.0,Tiny,0.019703426281921566,0.019703425699844956,14.119398057460785,1.0,1.0,1.0,0.0,0.0
20.0,Tiny,0.03235386370215565,0.03235386323649436,11.947801947593689,1.0,1.0,1.0,0.0,0.0
15.0,Tiny,0.07597623858600855,0.07597623998299241,8.234169781208038,1.0,1.0,1.0,0.0,0.0
10.0,Tiny,0.18339516874402761,0.18339516781270504,4.403919070959091,1.0,1.0,1.0,0.0,0.0
5.0,Tiny,0.3378007225692272,0.3378007225692272,1.7171597629785538,1.0,1.0,1.0,0.0,0.0
